"","episode_number_overall","director","writer","rating","votes","type","fr"
"106",102,"Kiyomu Fukuda","Junki Takegami",6.4,271,"Filler",0.77
"107",102,"Kiyomu Fukuda","Yuka Miyata",6.4,271,"Filler",0.77
"108",103,"Atsushi Nigorikawa","Masahiro Hikokubo",6.7,269,"Filler",0.8
"109",104,"Shigeharu Takahashi","Shin Yoshida",6.8,265,"Filler",0.8
"110",104,"Shigeharu Takahashi","Junki Takegami",6.8,265,"Filler",0.8
"111",105,"Yuki Kinoshita","Yuka Miyata",6.4,271,"Filler",0.77
"112",106,"Hiroshi Kimura","Masahiro Hikokubo",6.6,270,"Filler",0.79
"113",107,"Toshiaki Kanbara","Yasuyuki Suzuki",6.5,267,"Filler",0.77
"114",108,"Kunitoshi Okajima","Shin Yoshida",6.4,265,"Filler",0.75
"115",109,"Shigeharu Takahashi","Junki Takegami",6.3,263,"Filler",0.73
"116",110,"Kiyomu Fukuda","Junki Takegami",6.6,266,"Filler",0.78
"117",111,"Yuki Kinoshita","Junki Takegami",6.7,268,"Filler",0.79
"118",112,"Shigeharu Takahashi","Yuka Miyata",6.8,281,"Filler",0.84
"119",112,"Shigeharu Takahashi","Junki Takegami",6.8,281,"Filler",0.84
"120",113,"Masayuki Matsumoto","Masahiro Hikokubo",7.8,387,"Manga Canon",1.33
"121",114,"Hiroshi Kimura","Masahiro Hikokubo",8.1,405,"Manga Canon",1.45
"122",115,"Shuu Watanabe","Shin Yoshida",7.4,358,"Mixed Canon/Filler",1.17
"123",116,"Kunitoshi Okajima","Yasuyuki Suzuki",7.1,346,"Manga Canon",1.08
"124",117,"Yuki Arie","Shin Yoshida",7.3,340,"Manga Canon",1.1
"125",118,"Kiyomu Fukuda","Shin Yoshida",7.2,346,"Manga Canon",1.1
"126",119,"Yasumi Mikamoto","Junki Takegami",8.7,722,"Manga Canon",2.77
"127",120,"Masahiro Takada","Junki Takegami",9.2,1111,"Manga Canon",4.51
"128",121,"Masayuki Matsumoto","Yuka Miyata",7.7,385,"Manga Canon",1.31
"129",122,"Hiroshi Kimura","Yuka Miyata",7.7,374,"Manga Canon",1.27
"130",123,"Toshiyuki Tsuru","Toshiyuki Tsuru",8.5,529,"Manga Canon",1.98
"131",124,"Kunitoshi Okajima","Junki Takegami",8.5,575,"Manga Canon",2.16
"132",125,"Yuki Kinoshita","Yasuyuki Suzuki",8.1,423,"Manga Canon",1.51
"133",126,"Kiyomu Fukuda","Masahiro Hikokubo",8.3,446,"Manga Canon",1.63
"134",127,"Shuu Watanabe","Junki Takegami",8,402,"Mixed Canon/Filler",1.42
"135",128,"Shigeharu Takahashi","Junki Takegami",8.5,496,"Mixed Canon/Filler",1.86
"136",129,"Yuusuke Onoda","Shin Yoshida",8,393,"Manga Canon",1.39
"137",130,"Hiroshi Kimura","Shin Yoshida",8.5,513,"Manga Canon",1.92
"138",131,"Akitoshi Yokoyama","Yasuyuki Suzuki",8.8,753,"Manga Canon",2.93
"139",132,"Fujiaki Asari","Yuka Miyata",9,921,"Manga Canon",3.66
"140",133,"Masaaki Kumagai","Junki Takegami",9.6,3199,"Manga Canon",13.56
"141",134,"Kiyomu Fukuda","Masahiro Hikokubo",8.2,429,"Manga Canon",1.55
"142",135,"Atsushi Nigorikawa","Shin Yoshida",8.2,449,"Manga Canon",1.63
"143",136,"Shigeharu Takahashi","Yasuyuki Suzuki",8.9,847,"Manga Canon",3.33
"144",137,"Yuusuke Onoda","Yuka Miyata",9.1,1032,"Manga Canon",4.15
"145",138,"Masahiko Murata","Masahiro Hikokubo",9.4,1566,"Manga Canon",6.5
"146",139,"Hiroshi Kimura","Shin Yoshida",8.5,546,"Manga Canon",2.05
"147",140,"Minoru Yamaoka","Yasuyuki Suzuki",8.9,838,"Manga Canon",3.29
"148",141,"Shuu Watanabe","Yuka Miyata",9.1,985,"Manga Canon",3.96
"149",142,"Kiyomu Fukuda","Yasuyuki Suzuki",7.8,363,"Manga Canon",1.25
"150",143,"Atsushi Nigorikawa","Shin Yoshida",8.5,532,"Manga Canon",2
"151",144,"Masaaki Kumagai","Junki Takegami",6.2,262,"Filler",0.72
"152",145,"Shigeharu Takahashi","Shin Yoshida",6.2,256,"Filler",0.7
"153",146,"Hiroshi Kimura","Yuka Miyata",6.3,249,"Filler",0.69
"154",147,"Yuki Kinoshita","Yasuyuki Suzuki",6.3,251,"Filler",0.7
"155",148,"Eiko Nishi","Shin Yoshida",6.1,247,"Filler",0.67
"156",149,"Shuu Watanabe","Masahiro Hikokubo",6.3,245,"Filler",0.68
"157",150,"Kiyomu Fukuda","Yasuyuki Suzuki",6.4,250,"Filler",0.71
"158",151,"Yuusuke Onoda","Yasuyuki Suzuki",6.5,257,"Filler",0.74
"159",152,"Naoki Horiuchi","Yuka Miyata",8.1,392,"Manga Canon",1.4
"160",153,"Masaaki Kumagai","Yuka Miyata",8.4,457,"Manga Canon",1.69
"161",154,"Shigeharu Takahashi","Shin Yoshida",7.8,372,"Manga Canon",1.28
"162",155,"Hiroshi Kimura","Shin Yoshida",7.8,372,"Manga Canon",1.28
"163",156,"Yuki Kinoshita","Yuka Miyata",7.6,369,"Manga Canon",1.24
"164",157,"Hideyuki Yoshida","Masahiro Hikokubo",8,393,"Manga Canon",1.39
"165",158,"Kiyomu Fukuda","Shin Yoshida",8.3,429,"Manga Canon",1.57
"166",159,"Yoshihiro Sugai","Yuka Miyata",9.1,1082,"Manga Canon",4.35
"167",160,"Naoki Horiuchi","Yasuyuki Suzuki",8.3,440,"Manga Canon",1.61
"168",161,"Shigeharu Takahashi","Masahiro Hikokubo",8.4,481,"Manga Canon",1.78
"169",162,"Masaaki Kumagai","Shin Yoshida",9.1,963,"Manga Canon",3.87
"170",163,"Yuki Kinoshita","Masahiro Hikokubo",9.1,965,"Manga Canon",3.88
"171",164,"Yasuhiro Minami","Shin Yoshida",9.3,1375,"Manga Canon",5.65
"172",165,"Hiroshi Kimura","Shin Yoshida",9.2,1182,"Manga Canon",4.8
"173",166,"Toshiyuki Tsuru","Toshiyuki Tsuru",9.4,1538,"Manga Canon",6.38
"174",167,"Atsushi Wakabayashi","Yuka Miyata",9.4,1691,"Manga Canon",7.02
"175",168,"Kiyomu Fukuda","Masahiro Hikokubo",9.4,1592,"Manga Canon",6.61
"176",169,"Yoshihiro Sugai","Shin Yoshida",8.5,516,"Manga Canon",1.94
"177",170,"Naoki Horiuchi","Junki Takegami",6,260,"Filler",0.69
"178",171,"Yuki Kinoshita","Junki Takegami",6,258,"Filler",0.68
"179",172,"Takahiro Okao","Shin Yoshida",7.9,393,"Manga Canon",1.37
"180",173,"Masaaki Kumagai","Masahiro Hikokubo",8.5,493,"Manga Canon",1.85
"181",174,"Kanryou Kishikawa","Yasuyuki Suzuki",8.6,577,"Manga Canon",2.19
"182",175,"Hiroshi Kimura","Yuka Miyata",9.3,1292,"Manga Canon",5.3
"183",176,"Kiyomu Fukuda","Shin Yoshida",6.8,263,"Filler",0.79
"184",177,"Naoki Horiuchi","Shin Yoshida",6.7,253,"Filler",0.75
"185",178,"Atsushi Nigorikawa","Shin Yoshida",6.7,253,"Filler",0.75
"186",179,"Hiroshi Kimura","Junki Takegami",6.5,253,"Filler",0.73
"187",180,"Gorou Sessha","Yuka Miyata",5.8,250,"Filler",0.64
"188",181,"Shuu Watanabe","Yasuyuki Suzuki",5.8,246,"Filler",0.63
"189",182,"Kanryou Kishikawa","Masahiro Hikokubo",6.5,245,"Filler",0.7
"190",183,"Maki Odaira","Daisuke Watanabe",5.9,242,"Filler",0.63
"191",184,"Shigeru Mita","Katsuhiko Chiba",5.9,231,"Filler",0.6
"192",185,"Kiyomu Fukuda","Katsuhiko Chiba",5.2,251,"Filler",0.58
"193",186,"Masaaki Kumagai","Daisuke Watanabe",5.8,231,"Filler",0.59
"194",187,"Atsushi Nigorikawa","Junki Takegami",6,233,"Filler",0.62
"195",188,"Naoki Horiuchi","Junki Takegami",6.1,228,"Filler",0.61
"196",189,"Hiroshi Kimura","Masahiro Hikokubo",5.6,231,"Filler",0.57
"197",190,"Maki Odaira","Katsuhiko Chiba",6.2,238,"Filler",0.65
"198",191,"Shuu Watanabe","Yasuyuki Suzuki",6.3,236,"Filler",0.66
"199",192,"Kanryou Kishikawa","Yuka Miyata",6,232,"Filler",0.61
"200",193,"Chiyuki Tanaka","Shin Yoshida",6.1,232,"Filler",0.62
"201",194,"Gorou Sessha","Yasuyuki Suzuki",6.1,239,"Filler",0.64
"202",195,"Hiroyuki Tsuchiya","Masahiro Hikokubo",5.8,231,"Filler",0.59
"203",196,"Hiroshi Kimura","Daisuke Watanabe",5.9,233,"Filler",0.61
"204",197,"Masaaki Kumagai","Katsuhiko Chiba",7.5,341,"Manga Canon",1.13
"205",198,"Atsushi Nigorikawa","Yuka Miyata",7.6,337,"Manga Canon",1.13
"206",199,"Naoki Horiuchi","Katsuhiko Chiba",7.5,334,"Manga Canon",1.11
"207",200,"Shuu Watanabe","Shin Yoshida",7.6,346,"Manga Canon",1.16
"208",201,"Maki Odaira","Yasuyuki Suzuki",8,354,"Manga Canon",1.25
"209",202,"Shigeru Mita","Katsuhiko Chiba",8.2,366,"Manga Canon",1.32
"210",203,"Kanryou Kishikawa","Yasuyuki Suzuki",8.4,401,"Manga Canon",1.49
"211",204,"Ken'ichi Nishida","Yuka Miyata",8.3,378,"Manga Canon",1.39
"212",205,"Kiyomu Fukuda","Masahiro Hikokubo",8.2,368,"Manga Canon",1.33
"213",206,"Hiroshi Kimura","Shin Yoshida",7.3,366,"Manga Canon",1.18
"214",207,"Naoki Horiuchi","Katsuhiko Chiba",8.2,370,"Manga Canon",1.34
"215",208,"Shuu Watanabe","Yasuyuki Suzuki",7.7,352,"Manga Canon",1.2
"216",209,"Yoshihiro Sugai","Daisuke Watanabe",8.5,529,"Manga Canon",1.98
"217",210,"Masato Kitagawa","Shin Yoshida",8.4,433,"Manga Canon",1.61
"218",211,"Ken'ichi Nishida","Katsuhiko Chiba",8.6,583,"Manga Canon",2.21
"219",211,"Hayato Date","Katsuhiko Chiba",8.6,583,"Manga Canon",2.21
"220",212,"Hideaki Uehara","Yasuyuki Suzuki",6.8,325,"Manga Canon",0.98
"221",213,"Mitsutoshi Satou","Daisuke Watanabe",6.2,325,"Mixed Canon/Filler",0.89
"222",214,"Kiyomu Fukuda","Masahiro Hikokubo",7,330,"Manga Canon",1.02
"223",215,"Hiroshi Kimura","Shin Yoshida",7.3,337,"Manga Canon",1.09
"224",216,"Ken'ichi Nishida","Shin Yoshida",7.5,359,"Manga Canon",1.19
"225",217,"Daisuke Tsukushi","Katsuhiko Chiba",7.4,333,"Manga Canon",1.09
"226",218,"Masato Kitagawa","Yuka Miyata",7.1,332,"Manga Canon",1.04
"227",219,"Yoshihiro Sugai","Katsuhiko Chiba",8,383,"Manga Canon",1.35
"228",220,"Kanryou Kishikawa","Yasuyuki Suzuki",7.2,323,"Manga Canon",1.03
"229",221,"Naoki Horiuchi","Masahiro Hikokubo",7.8,340,"Manga Canon",1.17
"230",222,"Kiyomu Fukuda","Shin Yoshida",7.1,316,"Manga Canon",0.99
"231",223,"Mitsutoshi Satou","Junki Takegami",5.8,247,"Filler",0.63
"232",224,"Yoshihiro Sugai","Katsuhiko Chiba",5.6,239,"Filler",0.59
"233",224,"Hiroshi Kataoka","Katsuhiko Chiba",5.6,239,"Filler",0.59
"234",225,"Yutaka Kagawa","Masahiro Hikokubo",5.4,241,"Filler",0.57
"235",226,"Maki Odaira","Yasuyuki Suzuki",5.1,264,"Filler",0.59
"236",227,"Masahito Otani","Katsuhiko Chiba",5.5,238,"Filler",0.58
"237",228,"Kanryou Kishikawa","Masahiro Hikokubo",5.4,235,"Filler",0.56
"238",229,"Kiyomu Fukuda","Shin Yoshida",5.3,243,"Filler",0.57
"239",230,"Hiroshi Kataoka","Yasuyuki Suzuki",5.6,236,"Filler",0.58
"240",230,"Yoshihiro Sugai","Yasuyuki Suzuki",5.6,236,"Filler",0.58
"241",231,"Ken'ichi Nishida","Junki Takegami",5.4,233,"Filler",0.56
"242",231,"Ken'ichi Nishida","Daisuke Watanabe",5.4,233,"Filler",0.56
"243",232,"Shuu Watanabe","Katsuhiko Chiba",6.5,239,"Filler",0.69
"244",233,"Naoki Horiuchi","Shin Yoshida",5.5,230,"Filler",0.56
"245",234,"Gorou Sessha","Junki Takegami",6.2,246,"Filler",0.67
"246",235,"Jun'ichi Fujise","Yuka Miyata",5.8,233,"Filler",0.6
"247",236,"Tomoya Tanaka","Shin Yoshida",5.9,227,"Filler",0.59
"248",237,"Hisashi Ishii","Katsuhiko Chiba",6.1,226,"Filler",0.61
"249",238,"Masaaki Kumagai","Yasuyuki Suzuki",5.9,230,"Filler",0.6
"250",239,"Kiyomu Fukuda","Masahiro Hikokubo",6.1,233,"Filler",0.63
"251",240,"Ken'ichi Nishida","Daisuke Watanabe",5.8,230,"Filler",0.59
"252",241,"Yuusuke Onoda","Junki Takegami",6.7,248,"Filler",0.73
"253",242,"Naoki Horiuchi","Yuka Miyata",6.3,233,"Filler",0.65
"254",243,"Hiroshi Yamazaki","Katsuhiko Chiba",7,325,"Manga Canon",1
"255",244,"Hideki Takayama","Shin Yoshida",7,335,"Manga Canon",1.04
"256",245,"Kanryou Kishikawa","Junki Takegami",8.2,394,"Manga Canon",1.43
"257",246,"Masahiko Murata","Yasuyuki Suzuki",8.8,727,"Manga Canon",2.82
"258",247,"Hisashi Ishii","Junki Takegami",8.8,716,"Manga Canon",2.78
"259",248,"Masaaki Kumagai","Junki Takegami",9.5,1586,"Manga Canon",6.65
"260",249,"Chikara Sakurai","Junki Takegami",9.5,1849,"Manga Canon",7.75
"261",250,"Kiyomu Fukuda","Masahiro Hikokubo",7.9,381,"Manga Canon",1.33
"262",251,"Ken'ichi Nishida","Shin Yoshida",8.3,406,"Manga Canon",1.49
"263",252,"Hayato Date","Katsuhiko Chiba",8,394,"Manga Canon",1.39
"264",253,"Yuusuke Onoda","Katsuhiko Chiba",8.5,527,"Manga Canon",1.98
"265",254,"Kanryou Kishikawa","Yasuyuki Suzuki",6.7,302,"Manga Canon",0.89
"266",255,"Hideki Takayama","Yasuyuki Suzuki",7.5,317,"Manga Canon",1.05
"267",256,"Hisashi Ishii","Masahiro Hikokubo",8.3,451,"Manga Canon",1.65
"268",257,"Shigeki Kawai","Junki Takegami",6.1,230,"Filler",0.62
"269",258,"Kiyomu Fukuda","Junki Takegami",5.7,222,"Filler",0.56
"270",259,"Noriyuki Abe","Junki Takegami",5.6,226,"Filler",0.56
"271",260,"Yuusuke Onoda","Katsuhiko Chiba",6,224,"Filler",0.59
"272",261,"Naoki Horiuchi","Masahiro Hikokubo",7.7,351,"Manga Canon",1.19
