"","episode_number_overall","directed_by","written_by","rating","votes","type"
"337","337","Hiroaki Nishimura","Masahiro Hikokubo",8.2,371,"Manga Canon"
"338","338","Kazunori Mizuno","Masahiro Hikokubo",8.2,378,"Mixed Canon/Filler"
"339","339","Atsushi Nigorikawa","Yuka Miyata",9.4,1644,"Manga Canon"
"340","340","Eiko Nishi","Katsuhiko Chiba",8.3,375,"Manga Canon"
"341","341","Naoki Horiuchi","Yasuyuki Suzuki",8,345,"Manga Canon"
"342","342","Masaaki Kumagai","Shin Yoshida",8.6,462,"Manga Canon"
"343","343","Kazuya Iwata","Masahiro Hikokubo",8.9,766,"Manga Canon"
"344","344","Kazunori Mizuno","Yasuyuki Suzuki",8.7,658,"Manga Canon"
"345","345","Hiroyuki Yamashita","Katsuhiko Chiba",9.4,1610,"Manga Canon"
"346","346","Eiko Nishi","Shin Yoshida",8.2,357,"Mixed Canon/Filler"
"347","347","Sekito Kanno","Shin Yoshida",7.6,295,"Filler"
"348","348","Atsushi Nigorikawa","Shin Yoshida",8,313,"Filler"
"349","349","Naoki Horiuchi","Junki Takegami",7.8,274,"Filler"
"350","350","Daisuke Kurose","Junki Takegami",7.9,295,"Filler"
"351","351","Kazuya Iwata","Junki Takegami",7.3,243,"Filler"
"352","352","Yoshihiko Iwata","Yasuyuki Suzuki",7,240,"Filler"
"353","353","Masaaki Kumagai","Yasuyuki Suzuki",6.8,229,"Filler"
"354","354","Naoki Hishikawa","Yasuyuki Suzuki",6.9,230,"Filler"
"355","355","Naoki Horiuchi","Katsuhiko Chiba",7.2,241,"Filler"
"356","356","Kazunori Mizuno","Katsuhiko Chiba",7.3,244,"Filler"
"357","357","Takuma Suzuki","Katsuhiko Chiba",7.7,266,"Filler"
"358","358","Atsushi Nigorikawa","Katsuhiko Chiba",8.2,342,"Filler"
"359","359","Fukutarou Hattori","Katsuhiko Chiba",8,289,"Filler"
"360","360","Daisuke Kurose","Masahiro Hikokubo",7.6,255,"Filler"
"361","361","Masayuki Yamada","Masahiro Hikokubo",8,293,"Filler"
"362","362","Takuma Suzuki","Junki Takegami",8.6,545,"Mixed Canon/Filler"
"363","363","Gorou Sessha","Hideto Tanaka",9,695,"Manga Canon"
"364","364","Masaaki Kumagai","Shin Yoshida",9.4,1212,"Manga Canon"
"365","365","Naoki Horiuchi","Katsuhiko Chiba",9.1,786,"Manga Canon"
"366","366","Kazunori Mizuno","Masahiro Hikokubo",9.2,959,"Manga Canon"
"367","367","Kazuya Iwata","Shin Yoshida",8.6,548,"Manga Canon"
"368","368","Atsushi Nigorikawa","Shin Yoshida",8.9,630,"Manga Canon"
"369","369","Yoshihiko Iwata","Masahiro Hikokubo",8.7,581,"Manga Canon"
"370","370","Yoshihiro Yanagiya","Masahiro Hikokubo",8.8,624,"Manga Canon"
"371","371","Masayuki Yamada","Katsuhiko Chiba",8.5,469,"Manga Canon"
"372","372","Masaaki Kumagai","Katsuhiko ChibaYuka Miyata",9.3,1027,"Manga Canon"
"373","373","Takuma Suzuki","Yuka Miyata",8.6,548,"Manga Canon"
"374","374","Naoki Horiuchi","Yasuyuki Suzuki",8.6,483,"Manga Canon"
"375","375","Hiroyuki Yamashita","Yasuyuki SuzukiShin Yoshida",9.6,2301,"Manga Canon"
"376","376","Kazuya Iwata","Yasuyuki Suzuki",4.3,293,"Filler"
"377","377","Kazunori Mizuno","Yasuyuki Suzuki",3.8,393,"Filler"
"378","378","Takuma Suzuki","Shin Yoshida",8.6,490,"Manga Canon"
"379","379","Atsushi Nigorikawa","Katsuhiko Chiba",8.9,598,"Manga Canon"
"380","380","Masayuki Yamada","Yasuyuki Suzuki",8.7,542,"Manga Canon"
"381","381","Yoshihiro Yanagiya","Yuka Miyata",8.8,582,"Manga Canon"
"382","382","Takuma Suzuki","Masahiro Hikokubo",8.7,475,"Manga Canon"
"383","383","Masaaki Kumagai","Katsuhiko Chiba",8.5,399,"Manga Canon"
"384","384","Naoki Horiuchi","Yasuyuki Suzuki",8.7,554,"Manga Canon"
"385","385","Kazunori Mizuno","Junki TakegamiShin Yoshida",8,349,"Mixed Canon/Filler"
"386","386","Kazuya Iwata","Junki TakegamiShin Yoshida",7.8,302,"Mixed Canon/Filler"
"387","387","Atsushi Nigorikawa","Yuka Miyata",8.3,367,"Manga Canon"
"388","388","Yoshihiko Iwata","Masahiro Hikokubo",6.3,222,"Filler"
"389","389","Maki Odaira","Yuka Miyata",6.2,195,"Filler"
"390","390","Kiyoshi Murayama","Yuka Miyata",6.6,197,"Filler"
"391","391","Masaaki Kumagai","Yasuyuki Suzuki",8.9,682,"Manga Canon"
"392","392","Masayuki Yamada","Katsuhiko Chiba",8.8,631,"Manga Canon"
"393","393","Kazunori Mizuno","Shin Yoshida",9.1,861,"Manga Canon"
"394","394","Naoki Horiuchi","Junki Takegami",6.4,198,"Filler"
"395","395","Taisuke Mamoru","Junki Takegami",6.1,188,"Filler"
"396","396","Kazuya Iwata","Katsuhiko Chiba",6.7,189,"Filler"
"397","397","Atsushi Nigorikawa","Katsuhiko Chiba",6.7,185,"Filler"
"398","398","Tsuneo Tominaga","Shin Yoshida",6.4,185,"Filler"
"399","399","Tokuji Kaneko","Shin Yoshida",6.2,185,"Filler"
"400","400","Kentarou Fujita","Shin Yoshida",6.1,187,"Filler"
"401","401","Kazunori Mizuno","Shin Yoshida",7,198,"Filler"
"402","402","Tsuneo Tominaga","Yasuyuki Suzuki",5.9,187,"Filler"
"403","403","Masayuki Yamada","Yasuyuki Suzuki",5.9,186,"Filler"
"404","404","Akira Shimizu","Katsuhiko Chiba",5.7,183,"Filler"
"405","405","Atsushi Nigorikawa","Katsuhiko Chiba",6,181,"Filler"
"406","406","Fukutarou HattoriKazuya Iwata","Masahiro Hikokubo",5.8,182,"Filler"
"407","407","Tokuji Kaneko","Masahiro Hikokubo",5.8,183,"Filler"
"408","408","Tsuneo Tominaga","Shuto TanakaYuka Miyata",6.1,183,"Filler"
"409","409","Yoshinori Odaka","Shuto TanakaYuka Miyata",6.2,182,"Filler"
"410","410","Kentarou Fujita","Junki Takegami",6.3,182,"Filler"
"411","411","Masayuki Yamada","Junki Takegami",6.1,182,"Filler"
"412","412","Tsuneo Tominaga","Junki Takegami",6.2,183,"Filler"
"413","413","Kazunori Mizuno","Junki Takegami",6.5,186,"Filler"
"414","414","Akira Shimizu","Katsuhiko Chiba",8.5,447,"Manga Canon"
"415","415","Atsushi Nigorikawa","Shin Yoshida",8.1,343,"Manga Canon"
"416","416","Kazuya Iwata","Shin Yoshida",7,229,"Filler"
"417","417","Tokuji Kaneko","Shin Yoshida",8.1,297,"Filler"
"418","418","Takuma Suzuki","Yasuyuki Suzuki",8.3,431,"Manga Canon"
"419","419","Kentarou Fujita","Yasuyuki Suzuki",8.6,507,"Mixed Canon/Filler"
"420","420","Masayuki Yamada","Yuka Miyata",9,852,"Manga Canon"
"421","421","Kazunori Mizuno","Katsuhiko Chiba",9.5,1553,"Manga Canon"
"422","422","Takuma Suzuki","Yuka Miyata",6.6,197,"Filler"
"423","423","Akira Shimizu","Yuka Miyata",6.9,202,"Filler"
"424","424","Tomokazu Iwasaki","Yasuyuki Suzuki",9.2,1001,"Manga Canon"
"425","425","Ayataka TanemuraKazuya Iwata","Katsuhiko Chiba",8.9,692,"Manga Canon"
"426","426","Sumito Sasaki","Shuto Tanaka",8.3,368,"Mixed Canon/Filler"
"427","427","Hiroyuki Tsuchiya","Yuka Miyata",5.8,211,"Filler"
"428","428","Masayuki Yamada","Yuka Miyata",5.9,200,"Filler"
"429","429","Yoshinobu Tokumoto","Katsuhiko Chiba",5.2,201,"Filler"
"430","430","Kazunori Mizuno","Katsuhiko Chiba",5.2,198,"Filler"
"431","431","Kiyoshi Murayama","Yuka Miyata",6.2,193,"Filler"
"432","432","Akira Shimizu","Junki Takegami",5.6,185,"Filler"
"433","433","Maki Odaira","Junki TakegamiYasuyuki Suzuki",5.5,183,"Filler"
"434","434","Takuma Suzuki","Junki TakegamiYasuyuki Suzuki",5,222,"Filler"
"435","435","Kazuya Iwata","Junki TakegamiYasuyuki Suzuki",5.2,188,"Filler"
"436","436","Ayataka Tanemura","Junki TakegamiYasuyuki SuzukiYuka Miyata",5.3,190,"Filler"
"437","437","Masayuki Yamada","Junki TakegamiYasuyuki Suzuki",5.2,190,"Filler"
"438","438","Kiyoshi Murayama","Junki TakegamiYasuyuki Suzuki",5.5,185,"Filler"
"439","439","Shinnosuke Imagawa","Junki TakegamiYasuyuki Suzuki",5.6,184,"Filler"
"440","440","Kazunori Mizuno","Junki Takegami",5.7,187,"Filler"
"441","441","Toshihiro Maeya","Yuka Miyata",5.3,188,"Filler"
"442","442","Maki Odaira","Yuka Miyata",6,186,"Filler"
"443","443","Yasuhiro Akamatsu","Yuka Miyata",5.7,186,"Filler"
"444","444","Kazuya Iwata","Yasuyuki Suzuki",5.9,185,"Filler"
"445","445","Ayataka Tanemura","Junki TakegamiYasuyuki Suzuki",5.5,187,"Filler"
"446","446","Masayuki Yamada","Yasuyuki Suzuki",5.5,187,"Filler"
"447","447","Toshihiro Maeya","Junki TakegamiYasuyuki Suzuki",5.5,188,"Filler"
"448","448","Kiyoshi Murayama","Yasuyuki Suzuki",5.2,189,"Filler"
"449","449","Takeyuki Yanase","Junki Takegami",4.9,232,"Filler"
"450","450","Kazunori Mizuno","Yasuyuki Suzuki",6,190,"Filler"
"451","451","Kazuya Iwata","Katsuhiko Chiba",7.7,309,"Mixed Canon/Filler"
"452","452","Norihiko Nagahama","Katsuhiko Chiba",7.9,298,"Mixed Canon/Filler"
"453","453","Maki Odaira","Masahiro Hikokubo",7.2,281,"Mixed Canon/Filler"
"454","454","Yuusuke Onoda","Masahiro Hikokubo",7.9,297,"Mixed Canon/Filler"
"455","455","Masahiko Murata","Katsuhiko Chiba",8.8,689,"Mixed Canon/Filler"
"456","456","Kiyoshi Murayama","Katsuhiko Chiba",8,295,"Mixed Canon/Filler"
"457","457","Shougo Arai","Katsuhiko Chiba",8.2,309,"Mixed Canon/Filler"
"458","458","Masayuki Yamada","Katsuhiko Chiba",8.4,447,"Mixed Canon/Filler"
"459","459","Hisashi Ishii","Masahiro Hikokubo",8.4,420,"Manga Canon"
"460","460","Kazunori Mizuno","Shin Yoshida",7.6,288,"Mixed Canon/Filler"
"461","461","Naoki Horiuchi","Shin Yoshida",7.9,291,"Mixed Canon/Filler"
"462","462","Ayataka Tanemura","Shin Yoshida",8.2,311,"Mixed Canon/Filler"
"463","463","Fujii Toshiro","Masahiro Hikokubo",8.4,430,"Manga Canon"
"464","464","Kiyoshi Murayama","Shin Yoshida",7.7,251,"Filler"
"465","465","Maki Odaira","Shin Yoshida",7.5,244,"Filler"
"466","466","Masayuki Yamada","Shin Yoshida",7.4,239,"Filler"
"467","467","Atsushi Nigorikawa","Shin Yoshida",7.7,242,"Filler"
"468","468","Kazuya Iwata","Shin Yoshida",8.1,298,"Filler"
"469","469","Masayuki Kouda","Shuto Tanaka",7.9,325,"Filler"
"470","470","Masaaki Kumagai","Katsuhiko Chiba",8.5,494,"Manga Canon"
"471","471","Naoki Horiuchi","Yuka Miyata",8.3,386,"Mixed Canon/Filler"
"472","472","Kazunori Mizuno","Yuka Miyata",8.6,658,"Mixed Canon/Filler"
"473","473","Kiyoshi Murayama","Yuka Miyata",8.9,836,"Manga Canon"
"474","474","Masahiko Murata","Masahiro Hikokubo",9.5,1773,"Manga Canon"
"475","475","Yoshihiro Sugai","Katsuhiko Chiba",8.6,773,"Manga Canon"
"476","476","Hiroyuki Yamashita","Yuka Miyata",9.5,2136,"Manga Canon"
"477","477","Hiroyuki Yamashita","Yuka Miyata",9.7,3824,"Manga Canon"
"478","478","Toshiyuki Tsuru","Yasuaki Kurozu",9.4,1760,"Mixed Canon/Filler"
"479","479","Hayato Date","Yasuaki Kurozu",9,1017,"Mixed Canon/Filler"
"480","480","Osamu Kobayashi","Osamu Kobayashi",7.2,354,"Filler"
"481","481","Mitsuto Yamaji","Osamu Kobayashi",6.4,296,"Filler"
"482","482","Osamu Sekita","Osamu Kobayashi",6.5,291,"Filler"
"483","483","Taisuke Mamoru","Osamu Kobayashi",6.6,291,"Filler"
"484","484","Chiaki Kon","Masanao Akahoshi",7.2,341,"Manga Canon"
"485","485","Ayumi Ono","Masanao Akahoshi",7.3,333,"Manga Canon"
"486","486","Shingo Okano","Masanao Akahoshi",7.2,323,"Manga Canon"
"487","487","Osamu Sekita","Masanao Akahoshi",6.9,324,"Manga Canon"
"488","488","Chiaki Kon","Masanao Akahoshi",7.7,390,"Manga Canon"
"489","489","Toshinori Watanabe","Masaya Honda",7.3,339,"Manga Canon"
"490","490","Taiji Kawanishi","Masaya Honda",6.9,320,"Manga Canon"
"491","491","Naoki Hishikawa","Masaya Honda",6.9,315,"Manga Canon"
"492","492","Masayuki Matsumoto","Masaya Honda",7,316,"Manga Canon"
"493","493","Toshinori Watanabe","Masaya Honda",7.2,325,"Manga Canon"
"494","494","Michisoku Matsuda","Kento Shimoyama",7.1,331,"Manga Canon"
"495","495","Masahiko Murata","Kento Shimoyama",6.6,346,"Manga Canon"
"496","496","Yoshihiro Sugai","Kento Shimoyama",7.3,346,"Manga Canon"
"497","497","Maki Odaira","Kento Shimoyama",7,331,"Manga Canon"
"498","498","Naoki Horiuchi","Kento Shimoyama",6.5,337,"Manga Canon"
"499","499","Kazunori Mizuno","Kento Shimoyama",7.4,358,"Manga Canon"
"500","500","Masahiko Murata","Kento Shimoyama",9,1496,"Manga Canon"
