"","episode_number_overall","directed_by","written_by","rating","votes","type"
"97","97","Yuki Kinoshita","Junki Takegami",6.8,273,"Filler"
"98","98","Hiroshi Kimura","Shin Yoshida",6.8,272,"Filler"
"99","99","Yuusuke Onoda","Shin Yoshida",6.8,275,"Filler"
"100","100","Kunitoshi Okajima","Junki TakegamiShin Yoshida",6.5,272,"Filler"
"101","101","Masaaki Kumagai","Yuka Miyata",6.4,270,"Filler"
"102","102","Kiyomu Fukuda","Junki TakegamiYuka Miyata",6.4,271,"Filler"
"103","103","Atsushi Nigorikawa","Masahiro Hikokubo",6.7,269,"Filler"
"104","104","Shigeharu Takahashi","Shin YoshidaJunki Takegami",6.8,265,"Filler"
"105","105","Yuki Kinoshita","Yuka Miyata",6.4,271,"Filler"
"106","106","Hiroshi Kimura","Masahiro Hikokubo",6.6,270,"Filler"
"107","107","Toshiaki Kanbara","Yasuyuki Suzuki",6.5,267,"Filler"
"108","108","Kunitoshi Okajima","Shin Yoshida",6.4,265,"Filler"
"109","109","Shigeharu Takahashi","Junki Takegami",6.3,263,"Filler"
"110","110","Kiyomu Fukuda","Junki Takegami",6.6,266,"Filler"
"111","111","Yuki Kinoshita","Junki Takegami",6.7,268,"Filler"
"112","112","Shigeharu Takahashi","Yuka MiyataJunki Takegami",6.8,281,"Filler"
"113","113","Masayuki Matsumoto","Masahiro Hikokubo",7.8,387,"Manga Canon"
"114","114","Hiroshi Kimura","Masahiro Hikokubo",8.1,405,"Manga Canon"
"115","115","Shuu Watanabe","Shin Yoshida",7.4,358,"Mixed Canon/Filler"
"116","116","Kunitoshi Okajima","Yasuyuki Suzuki",7.1,346,"Manga Canon"
"117","117","Yuki Arie","Shin Yoshida",7.3,340,"Manga Canon"
"118","118","Kiyomu Fukuda","Shin Yoshida",7.2,346,"Manga Canon"
"119","119","Yasumi Mikamoto","Junki Takegami",8.7,722,"Manga Canon"
"120","120","Masahiro Takada","Junki Takegami",9.2,1111,"Manga Canon"
"121","121","Masayuki Matsumoto","Yuka Miyata",7.7,385,"Manga Canon"
"122","122","Hiroshi Kimura","Yuka Miyata",7.7,374,"Manga Canon"
"123","123","Toshiyuki Tsuru","Toshiyuki Tsuru",8.5,529,"Manga Canon"
"124","124","Kunitoshi Okajima","Junki Takegami",8.5,575,"Manga Canon"
"125","125","Yuki Kinoshita","Yasuyuki Suzuki",8.1,423,"Manga Canon"
"126","126","Kiyomu Fukuda","Masahiro Hikokubo",8.3,446,"Manga Canon"
"127","127","Shuu Watanabe","Junki Takegami",8,402,"Mixed Canon/Filler"
"128","128","Shigeharu Takahashi","Junki Takegami",8.5,496,"Mixed Canon/Filler"
"129","129","Yuusuke Onoda","Shin Yoshida",8,393,"Manga Canon"
"130","130","Hiroshi Kimura","Shin Yoshida",8.5,513,"Manga Canon"
"131","131","Akitoshi Yokoyama","Yasuyuki Suzuki",8.8,753,"Manga Canon"
"132","132","Fujiaki Asari","Yuka Miyata",9,921,"Manga Canon"
"133","133","Masaaki Kumagai","Junki Takegami",9.6,3199,"Manga Canon"
"134","134","Kiyomu Fukuda","Masahiro Hikokubo",8.2,429,"Manga Canon"
"135","135","Atsushi Nigorikawa","Shin Yoshida",8.2,449,"Manga Canon"
"136","136","Shigeharu Takahashi","Yasuyuki Suzuki",8.9,847,"Manga Canon"
"137","137","Yuusuke Onoda","Yuka Miyata",9.1,1032,"Manga Canon"
"138","138","Masahiko Murata","Masahiro Hikokubo",9.4,1566,"Manga Canon"
"139","139","Hiroshi Kimura","Shin Yoshida",8.5,546,"Manga Canon"
"140","140","Minoru Yamaoka","Yasuyuki Suzuki",8.9,838,"Manga Canon"
"141","141","Shuu Watanabe","Yuka Miyata",9.1,985,"Manga Canon"
"142","142","Kiyomu Fukuda","Yasuyuki Suzuki",7.8,363,"Manga Canon"
"143","143","Atsushi Nigorikawa","Shin Yoshida",8.5,532,"Manga Canon"
"144","144","Masaaki Kumagai","Junki Takegami",6.2,262,"Filler"
"145","145","Shigeharu Takahashi","Shin Yoshida",6.2,256,"Filler"
"146","146","Hiroshi Kimura","Yuka Miyata",6.3,249,"Filler"
"147","147","Yuki Kinoshita","Yasuyuki Suzuki",6.3,251,"Filler"
"148","148","Eiko Nishi","Shin Yoshida",6.1,247,"Filler"
"149","149","Shuu Watanabe","Masahiro Hikokubo",6.3,245,"Filler"
"150","150","Kiyomu Fukuda","Yasuyuki Suzuki",6.4,250,"Filler"
"151","151","Yuusuke Onoda","Yasuyuki Suzuki",6.5,257,"Filler"
"152","152","Naoki Horiuchi","Yuka Miyata",8.1,392,"Manga Canon"
"153","153","Masaaki Kumagai","Yuka Miyata",8.4,457,"Manga Canon"
"154","154","Shigeharu Takahashi","Shin Yoshida",7.8,372,"Manga Canon"
"155","155","Hiroshi Kimura","Shin Yoshida",7.8,372,"Manga Canon"
"156","156","Yuki Kinoshita","Yuka Miyata",7.6,369,"Manga Canon"
"157","157","Hideyuki Yoshida","Masahiro Hikokubo",8,393,"Manga Canon"
"158","158","Kiyomu Fukuda","Shin Yoshida",8.3,429,"Manga Canon"
"159","159","Yoshihiro Sugai","Yuka Miyata",9.1,1082,"Manga Canon"
"160","160","Naoki Horiuchi","Yasuyuki Suzuki",8.3,440,"Manga Canon"
"161","161","Shigeharu Takahashi","Masahiro Hikokubo",8.4,481,"Manga Canon"
"162","162","Masaaki Kumagai","Shin Yoshida",9.1,963,"Manga Canon"
"163","163","Yuki Kinoshita","Masahiro Hikokubo",9.1,965,"Manga Canon"
"164","164","Yasuhiro Minami","Shin Yoshida",9.3,1375,"Manga Canon"
"165","165","Hiroshi Kimura","Shin Yoshida",9.2,1182,"Manga Canon"
"166","166","Toshiyuki Tsuru","Toshiyuki Tsuru",9.4,1538,"Manga Canon"
"167","167","Atsushi Wakabayashi","Yuka Miyata",9.4,1691,"Manga Canon"
"168","168","Kiyomu Fukuda","Masahiro Hikokubo",9.4,1592,"Manga Canon"
"169","169","Yoshihiro Sugai","Shin Yoshida",8.5,516,"Manga Canon"
"170","170","Naoki Horiuchi","Junki Takegami",6,260,"Filler"
"171","171","Yuki Kinoshita","Junki Takegami",6,258,"Filler"
"172","172","Takahiro Okao","Shin Yoshida",7.9,393,"Manga Canon"
"173","173","Masaaki Kumagai","Masahiro Hikokubo",8.5,493,"Manga Canon"
"174","174","Kanryou Kishikawa","Yasuyuki Suzuki",8.6,577,"Manga Canon"
"175","175","Hiroshi Kimura","Yuka Miyata",9.3,1292,"Manga Canon"
"176","176","Kiyomu Fukuda","Shin Yoshida",6.8,263,"Filler"
"177","177","Naoki Horiuchi","Shin Yoshida",6.7,253,"Filler"
"178","178","Atsushi Nigorikawa","Shin Yoshida",6.7,253,"Filler"
"179","179","Hiroshi Kimura","Junki Takegami",6.5,253,"Filler"
"180","180","Gorou Sessha","Yuka Miyata",5.8,250,"Filler"
"181","181","Shuu Watanabe","Yasuyuki Suzuki",5.8,246,"Filler"
"182","182","Kanryou Kishikawa","Masahiro Hikokubo",6.5,245,"Filler"
"183","183","Maki Odaira","Daisuke Watanabe",5.9,242,"Filler"
"184","184","Shigeru Mita","Katsuhiko Chiba",5.9,231,"Filler"
"185","185","Kiyomu Fukuda","Katsuhiko Chiba",5.2,251,"Filler"
"186","186","Masaaki Kumagai","Daisuke Watanabe",5.8,231,"Filler"
"187","187","Atsushi Nigorikawa","Junki Takegami",6,233,"Filler"
"188","188","Naoki Horiuchi","Junki Takegami",6.1,228,"Filler"
"189","189","Hiroshi Kimura","Masahiro Hikokubo",5.6,231,"Filler"
"190","190","Maki Odaira","Katsuhiko Chiba",6.2,238,"Filler"
"191","191","Shuu Watanabe","Yasuyuki Suzuki",6.3,236,"Filler"
"192","192","Kanryou Kishikawa","Yuka Miyata",6,232,"Filler"
"193","193","Chiyuki Tanaka","Shin Yoshida",6.1,232,"Filler"
"194","194","Gorou Sessha","Yasuyuki Suzuki",6.1,239,"Filler"
"195","195","Hiroyuki Tsuchiya","Masahiro Hikokubo",5.8,231,"Filler"
"196","196","Hiroshi Kimura","Daisuke Watanabe",5.9,233,"Filler"
"197","197","Masaaki Kumagai","Katsuhiko Chiba",7.5,341,"Manga Canon"
"198","198","Atsushi Nigorikawa","Yuka Miyata",7.6,337,"Manga Canon"
"199","199","Naoki Horiuchi","Katsuhiko Chiba",7.5,334,"Manga Canon"
"200","200","Shuu Watanabe","Shin Yoshida",7.6,346,"Manga Canon"
"201","201","Maki Odaira","Yasuyuki Suzuki",8,354,"Manga Canon"
"202","202","Shigeru Mita","Katsuhiko Chiba",8.2,366,"Manga Canon"
"203","203","Kanryou Kishikawa","Yasuyuki Suzuki",8.4,401,"Manga Canon"
"204","204","Ken'ichi Nishida","Yuka Miyata",8.3,378,"Manga Canon"
"205","205","Kiyomu Fukuda","Masahiro Hikokubo",8.2,368,"Manga Canon"
"206","206","Hiroshi Kimura","Shin Yoshida",7.3,366,"Manga Canon"
"207","207","Naoki Horiuchi","Katsuhiko Chiba",8.2,370,"Manga Canon"
"208","208","Shuu Watanabe","Yasuyuki Suzuki",7.7,352,"Manga Canon"
"209","209","Yoshihiro Sugai","Daisuke Watanabe",8.5,529,"Manga Canon"
"210","210","Masato Kitagawa","Shin Yoshida",8.4,433,"Manga Canon"
"211","211","Ken'ichi NishidaHayato Date","Katsuhiko Chiba",8.6,583,"Manga Canon"
"212","212","Hideaki Uehara","Yasuyuki Suzuki",6.8,325,"Manga Canon"
"213","213","Mitsutoshi Satou","Daisuke Watanabe",6.2,325,"Mixed Canon/Filler"
"214","214","Kiyomu Fukuda","Masahiro Hikokubo",7,330,"Manga Canon"
"215","215","Hiroshi Kimura","Shin Yoshida",7.3,337,"Manga Canon"
"216","216","Ken'ichi Nishida","Shin Yoshida",7.5,359,"Manga Canon"
"217","217","Daisuke Tsukushi","Katsuhiko Chiba",7.4,333,"Manga Canon"
"218","218","Masato Kitagawa","Yuka Miyata",7.1,332,"Manga Canon"
"219","219","Yoshihiro Sugai","Katsuhiko Chiba",8,383,"Manga Canon"
"220","220","Kanryou Kishikawa","Yasuyuki Suzuki",7.2,323,"Manga Canon"
"221","221","Naoki Horiuchi","Masahiro Hikokubo",7.8,340,"Manga Canon"
"222","222","Kiyomu Fukuda","Shin Yoshida",7.1,316,"Manga Canon"
"223","223","Mitsutoshi Satou","Junki Takegami",5.8,247,"Filler"
"224","224","Yoshihiro SugaiHiroshi Kataoka","Katsuhiko Chiba",5.6,239,"Filler"
"225","225","Yutaka Kagawa","Masahiro Hikokubo",5.4,241,"Filler"
"226","226","Maki Odaira","Yasuyuki Suzuki",5.1,264,"Filler"
"227","227","Masahito Otani","Katsuhiko Chiba",5.5,238,"Filler"
"228","228","Kanryou Kishikawa","Masahiro Hikokubo",5.4,235,"Filler"
"229","229","Kiyomu Fukuda","Shin Yoshida",5.3,243,"Filler"
"230","230","Hiroshi KataokaYoshihiro Sugai","Yasuyuki Suzuki",5.6,236,"Filler"
"231","231","Ken'ichi Nishida","Junki TakegamiDaisuke Watanabe",5.4,233,"Filler"
"232","232","Shuu Watanabe","Katsuhiko Chiba",6.5,239,"Filler"
"233","233","Naoki Horiuchi","Shin Yoshida",5.5,230,"Filler"
"234","234","Gorou Sessha","Junki Takegami",6.2,246,"Filler"
"235","235","Jun'ichi Fujise","Yuka Miyata",5.8,233,"Filler"
"236","236","Tomoya Tanaka","Shin Yoshida",5.9,227,"Filler"
"237","237","Hisashi Ishii","Katsuhiko Chiba",6.1,226,"Filler"
"238","238","Masaaki Kumagai","Yasuyuki Suzuki",5.9,230,"Filler"
"239","239","Kiyomu Fukuda","Masahiro Hikokubo",6.1,233,"Filler"
"240","240","Ken'ichi Nishida","Daisuke Watanabe",5.8,230,"Filler"
"241","241","Yuusuke Onoda","Junki Takegami",6.7,248,"Filler"
"242","242","Naoki Horiuchi","Yuka Miyata",6.3,233,"Filler"
"243","243","Hiroshi Yamazaki","Katsuhiko Chiba",7,325,"Manga Canon"
"244","244","Hideki Takayama","Shin Yoshida",7,335,"Manga Canon"
"245","245","Kanryou Kishikawa","Junki Takegami",8.2,394,"Manga Canon"
"246","246","Masahiko Murata","Yasuyuki Suzuki",8.8,727,"Manga Canon"
"247","247","Hisashi Ishii","Junki Takegami",8.8,716,"Manga Canon"
"248","248","Masaaki Kumagai","Junki Takegami",9.5,1586,"Manga Canon"
"249","249","Chikara Sakurai","Junki Takegami",9.5,1849,"Manga Canon"
"250","250","Kiyomu Fukuda","Masahiro Hikokubo",7.9,381,"Manga Canon"
"251","251","Ken'ichi Nishida","Shin Yoshida",8.3,406,"Manga Canon"
"252","252","Hayato Date","Katsuhiko Chiba",8,394,"Manga Canon"
"253","253","Yuusuke Onoda","Katsuhiko Chiba",8.5,527,"Manga Canon"
"254","254","Kanryou Kishikawa","Yasuyuki Suzuki",6.7,302,"Manga Canon"
"255","255","Hideki Takayama","Yasuyuki Suzuki",7.5,317,"Manga Canon"
"256","256","Hisashi Ishii","Masahiro Hikokubo",8.3,451,"Manga Canon"
"257","257","Shigeki Kawai","Junki Takegami",6.1,230,"Filler"
"258","258","Kiyomu Fukuda","Junki Takegami",5.7,222,"Filler"
"259","259","Noriyuki Abe","Junki Takegami",5.6,226,"Filler"
"260","260","Yuusuke Onoda","Katsuhiko Chiba",6,224,"Filler"
"261","261","Naoki Horiuchi","Masahiro Hikokubo",7.7,351,"Manga Canon"
"262","262","Masaaki Kumagai","Shin Yoshida",8.1,342,"Manga Canon"
"263","263","Hisashi Ishii","Shin Yoshida",7.9,327,"Manga Canon"
"264","264","Kiyomu Fukuda","Yasuyuki Suzuki",7.8,321,"Manga Canon"
"265","265","Yuusuke Onoda","Shin Yoshida",7.8,330,"Manga Canon"
